Date : 2026-01-30 15:58:07
Directory : c:\tojiro\programming\AG\MyLogV2
Total : 109 files,  19487 codes, 672 comments, 1410 blanks, all 21569 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\FooterButton.tsx                         | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\SortButton.tsx                           | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\ViewModeButton.tsx                       | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\Header.test.tsx                          | TypeScript JSX     |         84 |          9 |         13 |        106 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\Header.tsx                               | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderActions.tsx                        | TypeScript JSX     |         50 |          0 |          4 |         54 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderStatus.test.tsx                    | TypeScript JSX     |         59 |          0 |          9 |         68 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderStatus.tsx                         | TypeScript JSX     |         45 |          0 |          5 |         50 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderTitle.tsx                          | TypeScript JSX     |         31 |          2 |          7 |         40 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\Card.test.tsx                              | TypeScript JSX     |        188 |         44 |         52 |        284 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\Card.tsx                                   | TypeScript JSX     |        180 |         11 |         30 |        221 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardDisplay.test.tsx                       | TypeScript JSX     |         55 |         30 |         16 |        101 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardFAB.test.tsx                           | TypeScript JSX     |        103 |          7 |         38 |        148 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardFAB.tsx                                | TypeScript JSX     |         94 |          9 |         13 |        116 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardToolbar.test.tsx                       | TypeScript JSX     |         56 |         12 |         11 |         79 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardToolbar.tsx                            | TypeScript JSX     |         34 |          3 |          5 |         42 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\cardUtils.test.ts                          | TypeScript         |        114 |         22 |         35 |        171 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\cardUtils.ts                               | TypeScript         |        105 |         18 |         27 |        150 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\useCardSort.test.ts                        | TypeScript         |         69 |         18 |         17 |        104 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\useCardSort.ts                             | TypeScript         |         89 |         10 |         20 |        119 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\CellContainer.test.tsx                     | TypeScript JSX     |         50 |          0 |          6 |         56 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\CellContainer.tsx                          | TypeScript JSX     |         51 |          4 |          8 |         63 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TaskCell.test.tsx                          | TypeScript JSX     |        143 |         14 |         43 |        200 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TaskCell.tsx                               | TypeScript JSX     |        136 |          5 |         13 |        154 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TextCell.test.tsx                          | TypeScript JSX     |        177 |          9 |         46 |        232 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TextCell.tsx                               | TypeScript JSX     |        167 |         17 |         23 |        207 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TimeCell.test.tsx                          | TypeScript JSX     |         83 |         14 |         22 |        119 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TimeCell.tsx                               | TypeScript JSX     |        151 |         28 |         16 |        195 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TitleCandidates.test.tsx                   | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\tojiro\programming\AG\MyLogV2\app\components\cell\TitleCandidates.tsx                        | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\tojiro\programming\AG\MyLogV2\app\components\db-viewer\DbViewer.test.tsx                     | TypeScript JSX     |        107 |         12 |         30 |        149 |
| c:\tojiro\programming\AG\MyLogV2\app\components\db-viewer\DbViewer.tsx                          | TypeScript JSX     |        314 |          7 |         27 |        348 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\FilterContext.tsx                                 | TypeScript JSX     |         77 |          0 |         14 |         91 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\LocationContext.test.tsx                          | TypeScript JSX     |         47 |         28 |         16 |         91 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\LocationContext.tsx                               | TypeScript JSX     |         81 |         32 |         27 |        140 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\RarityContext.test.tsx                            | TypeScript JSX     |         64 |          3 |         15 |         82 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\RarityContext.tsx                                 | TypeScript JSX     |         52 |          3 |         13 |         68 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\UIStateContext.test.tsx                           | TypeScript JSX     |        132 |         10 |         29 |        171 |
| c:\tojiro\programming\AG\MyLogV2\app\contexts\UIStateContext.tsx                                | TypeScript JSX     |        103 |          3 |         18 |        124 |
| c:\tojiro\programming\AG\MyLogV2\app\globals.css                                                | CSS                |          9 |          0 |          3 |         12 |
| c:\tojiro\programming\AG\MyLogV2\app\hooks\useAutoVisibility.test.ts                            | TypeScript         |         55 |          9 |         16 |         80 |
| c:\tojiro\programming\AG\MyLogV2\app\hooks\useAutoVisibility.ts                                 | TypeScript         |         37 |          5 |          9 |         51 |
| c:\tojiro\programming\AG\MyLogV2\app\hooks\useCardList.test.ts                                  | TypeScript         |         57 |          5 |         13 |         75 |
| c:\tojiro\programming\AG\MyLogV2\app\hooks\useCardList.test.tsx                                 | TypeScript JSX     |         27 |          4 |          9 |         40 |
| c:\tojiro\programming\AG\MyLogV2\app\hooks\useCardList.ts                                       | TypeScript         |        105 |          6 |         18 |        129 |
| c:\tojiro\programming\AG\MyLogV2\app\layout.tsx                                                 | TypeScript JSX     |         30 |          0 |          3 |         33 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\db\db.ts                                               | TypeScript         |         23 |          2 |          7 |         32 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\db\fileIO.test.ts                                      | TypeScript         |         90 |          4 |         21 |        115 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\db\operations.test.ts                                  | TypeScript         |        173 |         35 |         35 |        243 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\db\operations.ts                                       | TypeScript         |        139 |          7 |         28 |        174 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\filter\cardFilter.test.ts                              | TypeScript         |        167 |         13 |         15 |        195 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\filter\cardFilter.ts                                   | TypeScript         |         83 |         11 |         13 |        107 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\hooks\useCellTitleEstimation.ts                        | TypeScript         |         29 |          8 |          9 |         46 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\models\cell.test.ts                                    | TypeScript         |        105 |          6 |         16 |        127 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\models\cell.ts                                         | TypeScript         |         53 |         11 |          9 |         73 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\models\filter.ts                                       | TypeScript         |         26 |          0 |          3 |         29 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\rarity\RarityCalculator.test.ts                        | TypeScript         |         53 |          2 |          7 |         62 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\rarity\RarityCalculator.ts                             | TypeScript         |         28 |          5 |          6 |         39 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\rarity\RarityColor.ts                                  | TypeScript         |         42 |          8 |         11 |         61 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\LocationService.test.ts                       | TypeScript         |         22 |          6 |          7 |         35 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\LocationService.ts                            | TypeScript         |         18 |          3 |          7 |         28 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\estimation\CellTitleEstimationService.test.ts | TypeScript         |        103 |         29 |         29 |        161 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\estimation\CellTitleEstimationService.ts      | TypeScript         |        104 |         19 |         22 |        145 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\estimation\types.ts                           | TypeScript         |         18 |          6 |          6 |         30 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\services\estimation\utils.ts                           | TypeScript         |         18 |          1 |          3 |         22 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\utils.ts                                               | TypeScript         |          5 |          0 |          2 |          7 |
| c:\tojiro\programming\AG\MyLogV2\app\lib\utils\highlight.tsx                                    | TypeScript JSX     |         29 |          1 |          6 |         36 |
| c:\tojiro\programming\AG\MyLogV2\app\page.tsx                                                   | TypeScript JSX     |        103 |          8 |         16 |        127 |
| c:\tojiro\programming\AG\MyLogV2\components.json                                                | JSON               |         22 |          0 |          0 |         22 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\00_CordingRules.md                                  | Markdown           |         39 |          0 |          5 |         44 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\01_PageLayout.md                                    | Markdown           |         14 |          0 |          3 |         17 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\02_CellDataStructure.md                             | Markdown           |         46 |          0 |         11 |         57 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\03_DatabaseSpecification.md                         | Markdown           |         79 |          0 |         25 |        104 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\04_CellUI.md                                        | Markdown           |         89 |          0 |         10 |         99 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\05_CardUI.md                                        | Markdown           |         96 |          0 |         15 |        111 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\07_CardListUI.md                                    | Markdown           |        107 |          0 |         14 |        121 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\08_DbViewer.md                                      | Markdown           |         48 |          0 |         15 |         63 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\09_Rarity.md                                        | Markdown           |         45 |          0 |         10 |         55 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\10_CellTitleEstimation.md                           | Markdown           |        103 |          0 |         34 |        137 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\11_Header.md                                        | Markdown           |        118 |          0 |         11 |        129 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\12_Footer.md                                        | Markdown           |         80 |          0 |          5 |         85 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\13_Typography.md                                    | Markdown           |         18 |          0 |          6 |         24 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\14_LocationService.md                               | Markdown           |         13 |          0 |          3 |         16 |
| c:\tojiro\programming\AG\MyLogV2\docs\specs\15_Filter.md                                        | Markdown           |        126 |          0 |         13 |        139 |
| c:\tojiro\programming\AG\MyLogV2\eslint.config.mjs                                              | JavaScript         |         46 |         31 |         15 |         92 |
| c:\tojiro\programming\AG\MyLogV2\next.config.ts                                                 | TypeScript         |         11 |          0 |          3 |         14 |
| c:\tojiro\programming\AG\MyLogV2\package-lock.json                                              | JSON               |     12,126 |          0 |          1 |     12,127 |
| c:\tojiro\programming\AG\MyLogV2\package.json                                                   | JSON               |         53 |          0 |          1 |         54 |
| c:\tojiro\programming\AG\MyLogV2\postcss.config.mjs                                             | JavaScript         |          6 |          0 |          2 |          8 |
| c:\tojiro\programming\AG\MyLogV2\public\manifest.json                                           | JSON               |         23 |          0 |          0 |         23 |
| c:\tojiro\programming\AG\MyLogV2\test\setup.ts                                                  | TypeScript         |         47 |          5 |          6 |         58 |
| c:\tojiro\programming\AG\MyLogV2\tsconfig.json                                                  | JSON with Comments |         34 |          0 |          1 |         35 |
| c:\tojiro\programming\AG\MyLogV2\vitest.config.ts                                               | TypeScript         |         14 |          1 |          1 |         16 |
| Total                                                                                           |                    |     19,487 |        672 |      1,410 |     21,569 |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
